D‚formation,Contrainte (MPa)
0.004133394,157.3266239
0.004257759,157.6780447
0.004390685,158.1477215
0.004524658,158.7574133
0.004657082,158.9455921
0.004787245,159.4541231
0.004912151,159.7167784
0.004803455,150.5838008
0.004671013,141.9768835
0.004535602,133.3770563
0.004406307,124.2750181
0.00426887,115.7791077
0.004143204,107.204374
0.004005001,98.32703044
0.003868671,89.93533122
0.003738408,81.14267358
0.003605691,72.3637976
0.003474083,64.04269363
0.00333906,55.22131602
0.003210476,46.50052511
0.003082323,38.1374018
0.002947835,29.28083617
0.002817427,20.78108151
0.00268623,12.51403314
0.002552896,3.629838212
0.002421821,-4.692121964
0.002288471,-13.00275387
0.002161307,-21.66870584
0.00202719,-29.80672104
0.001896897,-38.05628605
0.001769885,-46.48861413
0.001631586,-54.46823105
0.001500676,-62.82791156
0.001373624,-70.7402946
0.001242454,-78.37061815
0.001105954,-85.70333842
0.000977281,-92.32398465
0.000843405,-98.05159349
0.000708465,-103.3249149
0.000578952,-107.4634091
0.00044676,-111.1331014
0.000317195,-114.3990229
0.00017787,-117.0540522
5.24607E-05,-119.6359683
-8.08722E-05,-121.9025932
-0.000210027,-123.7232151
-0.00034388,-125.7421396
-0.000469094,-127.319623
-0.000608474,-128.9063784
-0.000738573,-130.6502981
-0.000864389,-131.7892174
-0.001006225,-133.0474177
-0.001128871,-134.5919595
-0.001256313,-135.6133578
-0.001396979,-136.7072826
-0.001524673,-137.8456883
-0.001652845,-138.6734731
-0.001787994,-139.8089663
-0.001918435,-140.8355507
-0.002046596,-141.4621246
-0.002179107,-142.6034741
-0.00230858,-143.2953067
-0.002438843,-143.9414518
-0.002570475,-144.8985183
-0.00270043,-145.489925
-0.002832087,-146.174467
-0.002964122,-147.0831547
-0.003091574,-147.4398285
-0.003224881,-148.198277
-0.003355067,-148.9745514
-0.003485013,-149.2594565
-0.003619824,-149.964242
-0.00374273,-150.4758212
-0.003882733,-150.8439132
-0.004008733,-151.630969
-0.004139809,-151.9807927
-0.004273788,-152.3830393
-0.004404454,-153.0508621
-0.00452443,-153.261176
-0.004666307,-153.7527748
-0.004799155,-154.4091647
-0.004912407,-153.9755842
-0.004792471,-145.347154
-0.004666292,-136.6670922
-0.004532178,-127.5263813
-0.004398078,-119.1577295
-0.004260633,-110.3891798
-0.004133247,-101.3596534
-0.004001447,-92.93416501
-0.003863799,-84.13955109
-0.003736436,-75.15818219
-0.003591969,-66.56325933
-0.003466393,-57.7466816
-0.003334801,-49.06715634
-0.003199645,-40.48699641
-0.003071972,-31.5521461
-0.002941453,-23.19069096
-0.002808044,-14.56119911
-0.002674058,-5.832496016
-0.002537625,2.302032116
-0.002411806,10.95896848
-0.002278607,19.64433002
-0.002153503,27.52193426
-0.002015445,36.42961793
-0.001885743,44.60136386
-0.001762004,52.68337344
-0.00162211,61.20574894
-0.001494685,69.2466098
-0.001362491,77.30446338
-0.001232596,85.54035948
-0.001098933,92.83810886
-0.000963084,100.0772303
-0.000832939,106.6821115
-0.000702497,112.175597
-0.00056993,117.2070013
-0.000434595,121.6758044
-0.000306234,125.1616292
-0.000174528,128.5950811
-4.06189E-05,131.222497
8.2969E-05,133.7595752
0.000222387,136.1834939
0.000359186,137.9934324
0.000480547,140.01747
0.000615894,141.7818378
0.000743841,143.2510701
0.000874277,145.0651864
0.001007631,146.3646377
0.001138185,147.7798165
0.00127428,149.1252832
0.001398822,150.1144498
0.001529013,151.3712157
0.001659535,152.4939377
0.001797633,153.3680136
0.001920905,154.5611993
0.002056298,155.4543766
0.002189975,156.2796018
0.002318785,157.4043302
0.002448857,158.011312
0.002578561,158.8148929
0.002705418,159.7838348
0.002842116,160.2691848
0.002971838,161.2433964
0.003104265,161.9959218
0.003239546,162.4028994
0.003369955,163.2959619
0.003493443,163.7848841
0.003624914,164.3353509
0.003752904,165.1380006
0.003889337,165.4045392
0.004020851,166.1444251
0.00414936,166.8329151
0.004280601,166.966909
0.004409547,167.7063709
0.004546122,168.0698781
0.00466721,168.4535307
0.004806084,169.1341414
0.004907483,168.3174637
0.004782597,158.9867784
0.004651977,150.4826546
0.004513259,141.2617425
0.00438608,132.701542
0.004248879,124.0438908
0.004120366,114.9661735
0.003986712,106.6201848
0.003853588,97.9922933
0.003719673,88.89325104
0.003587618,80.57292792
0.003457304,71.65188641
0.003329056,63.00668064
0.003195393,54.52340989
0.003059253,45.66182724
0.002932769,37.13107543
0.002802806,28.62921479
0.002657854,19.95490259
0.002535252,11.75445319
0.002403748,3.164655079
0.002269984,-5.207800759
0.002140861,-13.58333445
0.002004416,-22.12767626
0.001875829,-30.26915932
0.001742452,-38.32208357
0.001613015,-46.8150877
0.001486402,-54.86527065
0.001352624,-63.11958962
0.001224022,-71.04938921
0.001087908,-78.7490595
0.000957804,-86.51909539
0.000827699,-93.41079834
0.00069349,-99.71515745
0.000557536,-105.5833242
0.000429952,-110.4659467
0.000301341,-114.759292
0.000166181,-118.6986881
3.40568E-05,-121.6795646
-9.61227E-05,-124.752117
-0.000226723,-127.5161615
-0.000357495,-129.5972736
-0.00049099,-131.9690053
-0.000623022,-133.8463176
-0.000752357,-135.560225
-0.00088249,-137.5651549
-0.00101997,-138.8677045
-0.00114505,-140.3932452
-0.00127712,-142.031983
-0.00140324,-143.0663153
-0.001537414,-144.4049799
-0.001672244,-145.7342493
-0.001798025,-146.4517559
-0.001938872,-147.90396
-0.002059822,-148.788786
-0.002194175,-149.6405974
-0.002323728,-150.7997748
-0.00245978,-151.4287454
-0.002582994,-152.1406399
-0.002721114,-153.1988694
-0.002848552,-153.8322599
-0.002979321,-154.7327759
-0.003109994,-155.4356343
-0.003241403,-155.991043
-0.003377985,-156.8020773
-0.003506804,-157.3414348
-0.003632831,-157.9515484
-0.003764536,-158.770412
-0.003897589,-159.0963553
-0.004026536,-159.8936079
-0.004151707,-160.3163736
-0.004290348,-160.6465259
-0.004418284,-161.4251824
-0.004550434,-161.7628696
-0.004679635,-162.1767307
-0.004814705,-162.907236
-0.004908478,-161.4006005
